Date,symbol,Open,High,Low,Close,Volume,Trades,VWAP
2021-02-18 05:00:00+00:00,TLT,123.36,124.2,123.11,123.86,11075248.0,59442.0,123.69
2021-02-19 05:00:00+00:00,TLT,122.89,123.11,121.86,122.21,13460038.0,60971.0,122.33
2021-02-22 05:00:00+00:00,TLT,122.01,122.62,120.89,121.28,13991117.0,63445.0,121.71
2021-02-23 05:00:00+00:00,TLT,120.72,121.56,120.4,120.93,13211800.0,70738.0,120.95
2021-02-24 05:00:00+00:00,TLT,118.87,120.43,118.71,120.14,18019845.0,88341.0,119.74
2021-02-25 05:00:00+00:00,TLT,119.02,119.36,116.53,118.18,54274033.0,332162.0,118.31
2021-02-26 05:00:00+00:00,TLT,120.08,122.24,119.15,122.09,46970196.0,264502.0,120.34
2021-03-01 05:00:00+00:00,TLT,120.13,120.77,119.65,120.48,22810260.0,131302.0,120.15
2021-03-02 05:00:00+00:00,TLT,119.91,120.54,119.82,120.48,12776740.0,77701.0,120.19
2021-03-03 05:00:00+00:00,TLT,119.04,119.7,118.51,119.18,20275124.0,103032.0,119.2
2021-03-04 05:00:00+00:00,TLT,119.26,119.52,117.83,118.41,23944092.0,120263.0,118.57
2021-03-05 05:00:00+00:00,TLT,118.01,119.01,117.85,118.64,21236594.0,100917.0,118.61
2021-03-08 05:00:00+00:00,TLT,118.57,118.63,117.72,117.72,15843548.0,73797.0,118.1
2021-03-09 05:00:00+00:00,TLT,118.95,119.41,118.69,119.35,15199960.0,67470.0,119.11
2021-03-10 05:00:00+00:00,TLT,119.4,119.7,118.96,119.59,12912445.0,69127.0,119.33
2021-03-11 05:00:00+00:00,TLT,118.86,119.04,118.26,118.72,14890334.0,71925.0,118.67
2021-03-12 05:00:00+00:00,TLT,116.5,116.55,115.86,116.21,21421808.0,91903.0,116.22
2021-03-15 04:00:00+00:00,TLT,116.57,117.09,116.5,116.89,11605052.0,62228.0,116.77
2021-03-16 04:00:00+00:00,TLT,117.03,117.11,115.94,116.42,16993769.0,77411.0,116.43
2021-03-17 04:00:00+00:00,TLT,115.43,115.75,114.57,115.55,27510167.0,148390.0,115.24
2021-03-18 04:00:00+00:00,TLT,113.86,114.85,113.75,114.38,23343511.0,109626.0,114.25
2021-03-19 04:00:00+00:00,TLT,114.51,115.15,114.28,115.09,18943958.0,96284.0,114.7
2021-03-22 04:00:00+00:00,TLT,115.89,116.5,115.62,116.38,17985657.0,72801.0,116.15
2021-03-23 04:00:00+00:00,TLT,116.65,117.47,116.28,117.43,18154736.0,73428.0,117.08
2021-03-24 04:00:00+00:00,TLT,117.06,118.1,116.96,118.06,14293844.0,64250.0,117.56
2021-03-25 04:00:00+00:00,TLT,118.19,118.42,117.09,117.13,22090732.0,108395.0,117.55
2021-03-26 04:00:00+00:00,TLT,116.51,117.21,116.34,116.72,8872710.0,44259.0,116.78
2021-03-29 04:00:00+00:00,TLT,116.86,116.88,115.27,115.73,14551873.0,62634.0,115.92
2021-03-30 04:00:00+00:00,TLT,115.56,116.59,115.3,116.33,15681373.0,68162.0,116.02
2021-03-31 04:00:00+00:00,TLT,116.44,116.66,115.28,115.68,20065451.0,97578.0,115.95
2021-04-01 04:00:00+00:00,TLT,116.78,117.7,116.57,117.6,16830696.0,66631.0,117.32
2021-04-05 04:00:00+00:00,TLT,116.78,117.14,116.26,117.09,8491016.0,51090.0,116.72
2021-04-06 04:00:00+00:00,TLT,117.3,118.0,117.17,117.88,9892944.0,53026.0,117.71
2021-04-07 04:00:00+00:00,TLT,117.55,118.11,117.06,117.06,11381002.0,54903.0,117.51
2021-04-08 04:00:00+00:00,TLT,117.5,118.08,117.47,118.03,8453992.0,41314.0,117.88
2021-04-09 04:00:00+00:00,TLT,117.59,118.18,117.24,117.6,8943854.0,47616.0,117.77
2021-04-12 04:00:00+00:00,TLT,117.56,117.62,117.25,117.55,7695052.0,39131.0,117.44
2021-04-13 04:00:00+00:00,TLT,117.42,118.46,117.34,118.43,13250066.0,57537.0,118.03
2021-04-14 04:00:00+00:00,TLT,118.05,118.22,117.65,118.06,7482333.0,42105.0,117.95
2021-04-15 04:00:00+00:00,TLT,119.3,120.57,119.27,120.03,23926883.0,101432.0,120.08
2021-04-16 04:00:00+00:00,TLT,118.96,119.5,118.82,119.1,15286711.0,64146.0,119.18
2021-04-19 04:00:00+00:00,TLT,118.65,119.14,118.49,118.76,13932322.0,48974.0,118.74
2021-04-20 04:00:00+00:00,TLT,118.41,119.53,118.39,119.3,11490989.0,47027.0,119.23
2021-04-21 04:00:00+00:00,TLT,119.34,119.65,118.94,119.54,11926431.0,46986.0,119.34
2021-04-22 04:00:00+00:00,TLT,119.73,120.06,119.05,120.06,15436886.0,71420.0,119.76
2021-04-23 04:00:00+00:00,TLT,120.06,120.13,119.3,119.78,13194518.0,51485.0,119.67
2021-04-26 04:00:00+00:00,TLT,119.86,120.17,119.6,119.61,9388334.0,41467.0,119.79
2021-04-27 04:00:00+00:00,TLT,119.38,119.58,118.47,118.57,17220891.0,54582.0,118.79
2021-04-28 04:00:00+00:00,TLT,118.58,118.78,117.99,118.65,15721444.0,83601.0,118.46
2021-04-29 04:00:00+00:00,TLT,117.55,118.33,117.27,118.29,19460199.0,72012.0,117.98
2021-04-30 04:00:00+00:00,TLT,118.45,118.65,118.0,118.57,16392888.0,75436.0,118.4
2021-05-03 04:00:00+00:00,TLT,118.79,119.6,118.43,118.64,18102763.0,84826.0,118.84
2021-05-04 04:00:00+00:00,TLT,119.47,120.04,119.18,119.44,20386328.0,95814.0,119.52
2021-05-05 04:00:00+00:00,TLT,119.08,119.78,118.98,119.64,11597881.0,56815.0,119.36
2021-05-06 04:00:00+00:00,TLT,119.26,120.07,119.22,119.84,21939411.0,67789.0,119.86
2021-05-07 04:00:00+00:00,TLT,119.99,120.42,118.97,119.25,18818805.0,88798.0,119.51
2021-05-10 04:00:00+00:00,TLT,119.01,119.26,117.93,118.04,16063449.0,77867.0,118.37
2021-05-11 04:00:00+00:00,TLT,117.53,117.75,117.14,117.37,16835958.0,76458.0,117.42
2021-05-12 04:00:00+00:00,TLT,117.05,117.17,115.93,116.14,21960979.0,115733.0,116.43
2021-05-13 04:00:00+00:00,TLT,116.42,116.8,116.16,116.32,13096356.0,75130.0,116.44
2021-05-14 04:00:00+00:00,TLT,116.93,117.41,116.67,117.41,17598513.0,71921.0,117.12
2021-05-17 04:00:00+00:00,TLT,117.19,117.48,116.96,117.16,6437608.0,35833.0,117.2
2021-05-18 04:00:00+00:00,TLT,116.82,116.97,116.54,116.86,14531877.0,37552.0,116.81
2021-05-19 04:00:00+00:00,TLT,116.94,117.59,116.16,116.58,14907596.0,89354.0,116.84
2021-05-20 04:00:00+00:00,TLT,117.13,117.76,117.05,117.53,14500955.0,58933.0,117.5
2021-05-21 04:00:00+00:00,TLT,117.9,117.94,117.39,117.91,11370718.0,50031.0,117.74
2021-05-24 04:00:00+00:00,TLT,118.19,118.69,118.1,118.35,7183895.0,36928.0,118.37
2021-05-25 04:00:00+00:00,TLT,118.73,119.48,118.72,119.44,12808065.0,51587.0,119.16
2021-05-26 04:00:00+00:00,TLT,119.56,119.83,118.95,119.24,10033506.0,50135.0,119.42
2021-05-27 04:00:00+00:00,TLT,118.62,118.78,118.19,118.75,11349792.0,62564.0,118.53
2021-05-28 04:00:00+00:00,TLT,118.69,119.31,118.49,118.57,10638790.0,58563.0,118.94
2021-06-01 04:00:00+00:00,TLT,118.21,118.59,117.72,118.54,13321774.0,62025.0,118.29
2021-06-02 04:00:00+00:00,TLT,118.84,119.04,118.64,118.82,8881966.0,36318.0,118.84
2021-06-03 04:00:00+00:00,TLT,118.8,118.8,118.23,118.37,12599747.0,51632.0,118.47
2021-06-04 04:00:00+00:00,TLT,118.81,119.99,118.81,119.99,16631775.0,68841.0,119.62
2021-06-07 04:00:00+00:00,TLT,119.73,119.83,119.5,119.63,8003629.0,36511.0,119.69
2021-06-08 04:00:00+00:00,TLT,120.64,120.65,120.26,120.47,12840402.0,53565.0,120.46
2021-06-09 04:00:00+00:00,TLT,121.59,121.92,121.15,121.53,13483727.0,58108.0,121.49
2021-06-10 04:00:00+00:00,TLT,120.79,122.28,120.66,122.26,21191104.0,87907.0,121.66
2021-06-11 04:00:00+00:00,TLT,122.06,122.14,121.66,122.06,8975065.0,44630.0,121.95
2021-06-14 04:00:00+00:00,TLT,121.88,121.88,120.95,121.13,10879243.0,44665.0,121.18
2021-06-15 04:00:00+00:00,TLT,120.77,121.01,120.49,120.98,19146091.0,63765.0,120.8
2021-06-16 04:00:00+00:00,TLT,121.28,121.51,120.26,120.88,21454154.0,104830.0,120.97
