Ticker,Price,Signal,Trend,MFI,RSI
ABBV,232.5,BUY,Bullish,59.4,62.4
A,123.24,SELL,Bearish,26.0,30.1
AKAM,107.18,BUY,Bullish,51.0,64.3
ARE,53.25,SELL,Bearish,53.2,48.4
AXP,344.23,SELL,Bearish,53.3,39.1
AMAT,357.12,BUY,Bullish,50.0,65.9
AZO,3717.05,BUY,Bullish,54.0,54.3
BIIB,193.77,BUY,Bullish,64.7,61.3
BKNG,4129.35,SELL,Bearish,13.5,20.7
CPB,27.13,BUY,Bullish,65.7,43.4
KMX,41.24,SELL,Bearish,37.2,40.7
CI,290.59,BUY,Bullish,56.0,58.0
CEG,296.57,BUY,Bullish,59.7,51.4
CPRT,37.0,SELL,Bearish,39.9,34.9
CTVA,75.28,BUY,Bullish,69.1,64.0
COST,1014.02,BUY,Bullish,68.6,68.5
CCI,91.41,BUY,Bullish,63.3,61.7
DHR,205.37,SELL,Bearish,19.8,29.6
EW,78.83,SELL,Bearish,33.6,43.2
EVRG,81.64,BUY,Bullish,49.7,70.5
EXPE,201.18,SELL,Bearish,34.2,24.0
EXPD,146.89,SELL,Bearish,43.2,36.6
EXR,147.11,BUY,Bullish,72.3,66.1
FDX,374.34,BUY,Bullish,94.9,82.0
F,14.02,BUY,Bullish,57.9,59.4
GPC,126.48,SELL,Bearish,41.9,34.2
GPN,68.39,SELL,Bearish,35.4,36.3
HIG,143.21,BUY,Bullish,88.3,65.3
IDXX,627.7,SELL,Bearish,31.5,34.5
J,134.67,SELL,Bearish,44.0,44.5
KEY,21.64,SELL,Bearish,44.4,46.4
KKR,101.57,SELL,Bearish,26.8,30.8
KR,69.94,BUY,Bullish,80.2,66.0
MCD,325.48,BUY,Bullish,81.9,58.1
MDT,97.04,SELL,Bearish,35.9,36.3
MRK,121.22,BUY,Bullish,81.2,69.2
META,637.83,SELL,Bearish,33.6,41.7
MTD,1351.35,SELL,Bearish,36.4,38.8
MSFT,395.65,SELL,Bearish,31.8,30.1
MS,171.06,SELL,Bearish,35.7,39.8
NWSA,23.16,SELL,Bearish,14.4,35.5
NWS,26.35,SELL,Bearish,20.2,34.5
NOC,703.9,BUY,Bullish,50.5,62.9
NRG,173.48,BUY,Bullish,63.2,69.1
OMC,67.55,SELL,Bearish,47.6,35.2
PFG,91.57,SELL,Bearish,42.8,46.9
PWR,526.98,BUY,Bullish,62.3,68.8
REGN,784.25,BUY,Bullish,61.9,54.3
SBAC,203.13,BUY,Bullish,54.6,68.5
SYF,71.97,SELL,Bearish,25.6,36.8
TTWO,192.97,SELL,Bearish,24.3,30.1
TRGP,222.87,BUY,Bullish,77.3,77.0
TGT,114.62,BUY,Bullish,76.5,62.8
TTD,25.34,SELL,Bearish,16.6,25.0
